 A ( ADVERB ) 
 annuisce ( VERB ) lemma=annuire 
 annuisci ( VERB ) lemma=annuire 
 annuisco ( VERB ) lemma=annuire 
 annuiscon ( VERB ) lemma=annuire 
 annuiscono ( VERB ) lemma=annuire 
 annuisse ( VERB ) lemma=annuire 
 annuisser ( VERB ) lemma=annuire 
 annuissero ( VERB ) lemma=annuire 
 annuissi ( VERB ) lemma=annuire 
 annuissima ( ADJECTIVE ) lemma=annuo 
 annuissime ( ADJECTIVE ) lemma=annuo 
 annuissimi ( ADJECTIVE ) lemma=annuo 
 annuissimo ( VERB ADJECTIVE ) lemma=annuo 
 annuiste ( VERB ) lemma=annuire 
 annuisti ( VERB ) lemma=annuire 
 annuita ( VERB_PAST_PARTICIPLE VERB ) lemma=annuire 
 annuite ( VERB_PAST_PARTICIPLE VERB ) lemma=annuire 
 annuiti ( VERB_PAST_PARTICIPLE VERB ) lemma=annuire 
 annuito ( VERB_PAST_PARTICIPLE VERB ) lemma=annuire 
 annuiva ( VERB ) lemma=annuire 
 annuivamo ( VERB ) lemma=annuire 
 annuivan ( VERB ) lemma=annuire 
 annuivano ( VERB ) lemma=annuire 
 annuivate ( VERB ) lemma=annuire 
 annuivi ( VERB ) lemma=annuire 
 annuivo ( VERB ) lemma=annuire 
 annulla ( VERB ) lemma=annullare 
 annullabile ( ADJECTIVE ) 
 annullabili ( ADJECTIVE ) lemma=annullabile 
 annullabilissima ( ADJECTIVE ) lemma=annullabile 
 annullabilissime ( ADJECTIVE ) lemma=annullabile 
 annullabilissimi ( ADJECTIVE ) lemma=annullabile 
 annullabilissimo ( ADJECTIVE ) lemma=annullabile 
 annullai ( VERB ) lemma=annullare 
 annullamenti ( NOUN NOUN_SINGULAR ) lemma=annullamento 
 annullamento ( NOUN NOUN_SINGULAR ) 
 annullammo ( VERB ) lemma=annullare 
 annullan ( VERB ) lemma=annullare 
 annullando ( NOUN NOUN_GERUND ) lemma=annullare 
 annullandone ( NOUN NOUN_GERUND ) lemma=annullare 
 annullandosi ( NOUN NOUN_GERUND ) lemma=annullare 
 annullano ( VERB ) lemma=annullare 
 annullante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annullare 
 annullanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annullare 
 annullar ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullare ( VERB_INFINITIVE VERB ) 
 annullarla ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullarle ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullarlo ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullarne ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullaron ( VERB ) lemma=annullare 
 annullarono ( VERB ) lemma=annullare 
 annullarsi ( VERB_INFINITIVE VERB ) lemma=annullare 
 annullasse ( VERB ) lemma=annullare 
 annullasser ( VERB ) lemma=annullare 
 annullassero ( VERB ) lemma=annullare 
 annullassi ( VERB ) lemma=annullare 
 annullassimo ( VERB ) lemma=annullare 
 annullaste ( VERB ) lemma=annullare 
 annullasti ( VERB ) lemma=annullare 
 annullata ( VERB_PAST_PARTICIPLE VERB ) lemma=annullare 
 annullate ( VERB_PAST_PARTICIPLE VERB ) lemma=annullare 
 annullati ( VERB_PAST_PARTICIPLE VERB ) lemma=annullare 
 annullato ( VERB_PAST_PARTICIPLE VERB ) lemma=annullare 
 annullava ( VERB ) lemma=annullare 
 annullavamo ( VERB ) lemma=annullare 
 annullavan ( VERB ) lemma=annullare 
 annullavano ( VERB ) lemma=annullare 
 annullavate ( VERB ) lemma=annullare 
 annullavi ( VERB ) lemma=annullare 
 annullavo ( VERB ) lemma=annullare 
 annullera' ( VERB ) lemma=annullare 
 annullerai ( VERB ) lemma=annullare 
 annulleran ( VERB ) lemma=annullare 
 annulleranno ( VERB ) lemma=annullare 
 annullerebbe ( VERB ) lemma=annullare 
 annullerebber ( VERB ) lemma=annullare 
 annullerebbero ( VERB ) lemma=annullare 
 annullerei ( VERB ) lemma=annullare 
 annulleremmo ( VERB ) lemma=annullare 
 annulleremo ( VERB ) lemma=annullare 
 annullereste ( VERB ) lemma=annullare 
 annulleresti ( VERB ) lemma=annullare 
 annullerete ( VERB ) lemma=annullare 
 annullero' ( VERB ) lemma=annullare 
 annullerà ( VERB ) lemma=annullare 
 annullerò ( VERB ) lemma=annullare 
 annulli ( VERB ) lemma=annullare 
 annulliamo ( VERB ) lemma=annullare 
 annulliate ( VERB ) lemma=annullare 
 annullin ( VERB ) lemma=annullare 
 annullino ( VERB ) lemma=annullare 
 annullo ( VERB ) lemma=annullare 
 annullo' ( VERB ) lemma=annullare 
 annullò ( VERB ) lemma=annullare 
 annuncera' ( VERB ) lemma=annunciare 
 annuncerai ( VERB ) lemma=annunciare 
 annunceran ( VERB ) lemma=annunciare 
 annunceranno ( VERB ) lemma=annunciare 
 annuncerebbe ( VERB ) lemma=annunciare 
 annuncerebber ( VERB ) lemma=annunciare 
 annuncerebbero ( VERB ) lemma=annunciare 
 annuncerei ( VERB ) lemma=annunciare 
 annunceremmo ( VERB ) lemma=annunciare 
 annunceremo ( VERB ) lemma=annunciare 
 annuncereste ( VERB ) lemma=annunciare 
 annunceresti ( VERB ) lemma=annunciare 
 annuncerete ( VERB ) lemma=annunciare 
 annuncero' ( VERB ) lemma=annunciare 
 annuncerà ( VERB ) lemma=annunciare 
 annuncerò ( VERB ) lemma=annunciare 
 annunci ( NOUN VERB NOUN_SINGULAR ) lemma=annuncio 
 annuncia ( VERB ) lemma=annunciare 
 annunciai ( VERB ) lemma=annunciare 
 annunciammo ( VERB ) lemma=annunciare 
 annunciamo ( VERB ) lemma=annunciare 
 annuncian ( VERB ) lemma=annunciare 
 annunciando ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciandogli ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciandolo ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciandomi ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciandone ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciandosi ( NOUN NOUN_GERUND ) lemma=annunciare 
 annunciano ( VERB ) lemma=annunciare 
 annunciante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annunciare 
 annuncianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annunciare 
 annunciar ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciare ( VERB_INFINITIVE VERB ) 
 annunciarla ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciarli ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciarlo ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciarmi ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciaron ( VERB ) lemma=annunciare 
 annunciarono ( VERB ) lemma=annunciare 
 annunciarsi ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciarti ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciarvi ( VERB_INFINITIVE VERB ) lemma=annunciare 
 annunciasse ( VERB ) lemma=annunciare 
 annunciasser ( VERB ) lemma=annunciare 
 annunciassero ( VERB ) lemma=annunciare 
 annunciassi ( VERB ) lemma=annunciare 
 annunciassimo ( VERB ) lemma=annunciare 
 annunciaste ( VERB ) lemma=annunciare 
 annunciasti ( VERB ) lemma=annunciare 
 annunciata ( VERB_PAST_PARTICIPLE VERB ) lemma=annunciare 
 annunciate ( VERB_PAST_PARTICIPLE VERB ) lemma=annunciare 
 annunciatevi ( VERB ) lemma=annunciare 
 annunciati ( VERB_PAST_PARTICIPLE VERB ) lemma=annunciare 
 annunciato ( VERB_PAST_PARTICIPLE VERB ) lemma=annunciare 
 annunciatore ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 annunciatori ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=annunciatore 
 annunciatorissima ( ADJECTIVE ) lemma=annunciatore 
 annunciatorissime ( ADJECTIVE ) lemma=annunciatore 
 annunciatorissimi ( ADJECTIVE ) lemma=annunciatore 
 annunciatorissimo ( ADJECTIVE ) lemma=annunciatore 
 annunciatrice ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=annunciatore 
 annunciatrici ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=annunciatore 
 annunciava ( VERB ) lemma=annunciare 
 annunciavamo ( VERB ) lemma=annunciare 
 annunciavan ( VERB ) lemma=annunciare 
 annunciavano ( VERB ) lemma=annunciare 
 annunciavate ( VERB ) lemma=annunciare 
 annunciavi ( VERB ) lemma=annunciare 
 annunciavo ( VERB ) lemma=annunciare 
 annuncin ( VERB ) lemma=annunciare 
 annuncino ( VERB ) lemma=annunciare 
 annuncio ( NOUN VERB NOUN_SINGULAR ) 
 annuncio' ( VERB ) lemma=annunciare 
 annunciò ( VERB ) lemma=annunciare 
 annunzi ( VERB ) lemma=annunziare 
 annunzia ( VERB ) lemma=annunziare 
 annunziai ( VERB ) lemma=annunziare 
 annunziammo ( VERB ) lemma=annunziare 
 annunziamo ( VERB ) lemma=annunziare 
 annunzian ( VERB ) lemma=annunziare 
 annunziando ( NOUN NOUN_GERUND ) lemma=annunziare 
 annunziano ( VERB ) lemma=annunziare 
 annunziante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annunziare 
 annunzianti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annunziare 
 annunziar ( VERB_INFINITIVE VERB ) lemma=annunziare 
 annunziare ( VERB_INFINITIVE VERB ) 
 annunziaron ( VERB ) lemma=annunziare 
 annunziarono ( VERB ) lemma=annunziare 
 annunziasse ( VERB ) lemma=annunziare 
 annunziasser ( VERB ) lemma=annunziare 
 annunziassero ( VERB ) lemma=annunziare 
 annunziassi ( VERB ) lemma=annunziare 
 annunziassimo ( VERB ) lemma=annunziare 
 annunziaste ( VERB ) lemma=annunziare 
 annunziasti ( VERB ) lemma=annunziare 
 annunziata ( VERB_PAST_PARTICIPLE VERB ) lemma=annunziare 
 annunziate ( VERB_PAST_PARTICIPLE VERB ) lemma=annunziare 
 annunziati ( VERB_PAST_PARTICIPLE VERB ) lemma=annunziare 
 annunziato ( VERB_PAST_PARTICIPLE VERB ) lemma=annunziare 
 annunziava ( VERB ) lemma=annunziare 
 annunziavamo ( VERB ) lemma=annunziare 
 annunziavan ( VERB ) lemma=annunziare 
 annunziavano ( VERB ) lemma=annunziare 
 annunziavate ( VERB ) lemma=annunziare 
 annunziavi ( VERB ) lemma=annunziare 
 annunziavo ( VERB ) lemma=annunziare 
 annunziera' ( VERB ) lemma=annunziare 
 annunzierai ( VERB ) lemma=annunziare 
 annunzieran ( VERB ) lemma=annunziare 
 annunzieranno ( VERB ) lemma=annunziare 
 annunzierebbe ( VERB ) lemma=annunziare 
 annunzierebber ( VERB ) lemma=annunziare 
 annunzierebbero ( VERB ) lemma=annunziare 
 annunzierei ( VERB ) lemma=annunziare 
 annunzieremmo ( VERB ) lemma=annunziare 
 annunzieremo ( VERB ) lemma=annunziare 
 annunziereste ( VERB ) lemma=annunziare 
 annunzieresti ( VERB ) lemma=annunziare 
 annunzierete ( VERB ) lemma=annunziare 
 annunziero' ( VERB ) lemma=annunziare 
 annunzierà ( VERB ) lemma=annunziare 
 annunzierò ( VERB ) lemma=annunziare 
 annunzin ( VERB ) lemma=annunziare 
 annunzino ( VERB ) lemma=annunziare 
 annunzio ( VERB ) lemma=annunziare 
 annunzio' ( VERB ) lemma=annunziare 
 annunziò ( VERB ) lemma=annunziare 
 annuo ( ADJECTIVE ) 
 annusa ( VERB ) lemma=annusare 
 annusai ( VERB ) lemma=annusare 
 annusammo ( VERB ) lemma=annusare 
 annusan ( VERB ) lemma=annusare 
 annusando ( NOUN NOUN_GERUND ) lemma=annusare 
 annusano ( VERB ) lemma=annusare 
 annusante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annusare 
 annusanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annusare 
 annusar ( VERB_INFINITIVE VERB ) lemma=annusare 
 annusare ( VERB_INFINITIVE VERB ) 
 annusarli ( VERB_INFINITIVE VERB ) lemma=annusare 
 annusarlo ( VERB_INFINITIVE VERB ) lemma=annusare 
 annusarne ( VERB_INFINITIVE VERB ) lemma=annusare 
 annusaron ( VERB ) lemma=annusare 
 annusarono ( VERB ) lemma=annusare 
 annusasse ( VERB ) lemma=annusare 
 annusasser ( VERB ) lemma=annusare 
 annusassero ( VERB ) lemma=annusare 
 annusassi ( VERB ) lemma=annusare 
 annusassimo ( VERB ) lemma=annusare 
 annusaste ( VERB ) lemma=annusare 
 annusasti ( VERB ) lemma=annusare 
 annusata ( VERB_PAST_PARTICIPLE VERB ) lemma=annusare 
 annusate ( VERB_PAST_PARTICIPLE VERB ) lemma=annusare 
 annusati ( VERB_PAST_PARTICIPLE VERB ) lemma=annusare 
 annusato ( VERB_PAST_PARTICIPLE VERB ) lemma=annusare 
 annusava ( VERB ) lemma=annusare 
 annusavamo ( VERB ) lemma=annusare 
 annusavan ( VERB ) lemma=annusare 
 annusavano ( VERB ) lemma=annusare 
 annusavate ( VERB ) lemma=annusare 
 annusavi ( VERB ) lemma=annusare 
 annusavo ( VERB ) lemma=annusare 
 annusera' ( VERB ) lemma=annusare 
 annuserai ( VERB ) lemma=annusare 
 annuseran ( VERB ) lemma=annusare 
 annuseranno ( VERB ) lemma=annusare 
 annuserebbe ( VERB ) lemma=annusare 
 annuserebber ( VERB ) lemma=annusare 
 annuserebbero ( VERB ) lemma=annusare 
 annuserei ( VERB ) lemma=annusare 
 annuseremmo ( VERB ) lemma=annusare 
 annuseremo ( VERB ) lemma=annusare 
 annusereste ( VERB ) lemma=annusare 
 annuseresti ( VERB ) lemma=annusare 
 annuserete ( VERB ) lemma=annusare 
 annusero' ( VERB ) lemma=annusare 
 annuserà ( VERB ) lemma=annusare 
 annuserò ( VERB ) lemma=annusare 
 annusi ( VERB ) lemma=annusare 
 annusiamo ( VERB ) lemma=annusare 
 annusiate ( VERB ) lemma=annusare 
 annusin ( VERB ) lemma=annusare 
 annusino ( VERB ) lemma=annusare 
 annuso ( VERB ) lemma=annusare 
 annuso' ( VERB ) lemma=annusare 
 annusò ( VERB ) lemma=annusare 
 annuvola ( VERB ) lemma=annuvolare 
 annuvolai ( VERB ) lemma=annuvolare 
 annuvolamenti ( NOUN NOUN_SINGULAR ) lemma=annuvolamento 
 annuvolamento ( NOUN NOUN_SINGULAR ) 
 annuvolammo ( VERB ) lemma=annuvolare 
 annuvolan ( VERB ) lemma=annuvolare 
 annuvolando ( NOUN NOUN_GERUND ) lemma=annuvolare 
 annuvolano ( VERB ) lemma=annuvolare 
 annuvolante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolar ( VERB_INFINITIVE VERB ) lemma=annuvolare 
 annuvolare ( VERB_INFINITIVE VERB ) 
 annuvolaron ( VERB ) lemma=annuvolare 
 annuvolarono ( VERB ) lemma=annuvolare 
 annuvolasse ( VERB ) lemma=annuvolare 
 annuvolasser ( VERB ) lemma=annuvolare 
 annuvolassero ( VERB ) lemma=annuvolare 
 annuvolassi ( VERB ) lemma=annuvolare 
 annuvolassimo ( VERB ) lemma=annuvolare 
 annuvolaste ( VERB ) lemma=annuvolare 
 annuvolasti ( VERB ) lemma=annuvolare 
 annuvolata ( VERB_PAST_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolate ( VERB_PAST_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolati ( VERB_PAST_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolato ( VERB_PAST_PARTICIPLE VERB ) lemma=annuvolare 
 annuvolava ( VERB ) lemma=annuvolare 
 annuvolavamo ( VERB ) lemma=annuvolare 
 annuvolavan ( VERB ) lemma=annuvolare 
 annuvolavano ( VERB ) lemma=annuvolare 
 annuvolavate ( VERB ) lemma=annuvolare 
 annuvolavi ( VERB ) lemma=annuvolare 
 annuvolavo ( VERB ) lemma=annuvolare 
 annuvolera' ( VERB ) lemma=annuvolare 
 annuvolerai ( VERB ) lemma=annuvolare 
 annuvoleran ( VERB ) lemma=annuvolare 
 annuvoleranno ( VERB ) lemma=annuvolare 
 annuvolerebbe ( VERB ) lemma=annuvolare 
 annuvolerebber ( VERB ) lemma=annuvolare 
 annuvolerebbero ( VERB ) lemma=annuvolare 
 annuvolerei ( VERB ) lemma=annuvolare 
 annuvoleremmo ( VERB ) lemma=annuvolare 
 annuvoleremo ( VERB ) lemma=annuvolare 
 annuvolereste ( VERB ) lemma=annuvolare 
 annuvoleresti ( VERB ) lemma=annuvolare 
 annuvolerete ( VERB ) lemma=annuvolare 
 annuvolero' ( VERB ) lemma=annuvolare 
 annuvolerà ( VERB ) lemma=annuvolare 
 annuvolerò ( VERB ) lemma=annuvolare 
 annuvoli ( VERB ) lemma=annuvolare 
 annuvoliamo ( VERB ) lemma=annuvolare 
 annuvoliate ( VERB ) lemma=annuvolare 
 annuvolin ( VERB ) lemma=annuvolare 
 annuvolino ( VERB ) lemma=annuvolare 
 annuvolo ( VERB ) lemma=annuvolare 
 annuvolo' ( VERB ) lemma=annuvolare 
 annuvolò ( VERB ) lemma=annuvolare 
 annuì ( VERB ) lemma=annuire 
 ano ( NOUN NOUN_SINGULAR ) 
 anodina ( ADJECTIVE ) lemma=anodino 
 anodine ( ADJECTIVE ) lemma=anodino 
 anodini ( ADJECTIVE ) lemma=anodino 
 anodinissima ( ADJECTIVE ) lemma=anodino 
 anodinissime ( ADJECTIVE ) lemma=anodino 
 anodinissimi ( ADJECTIVE ) lemma=anodino 
 anodinissimo ( ADJECTIVE ) lemma=anodino 
 anodino ( ADJECTIVE ) 
 anodizza ( VERB ) lemma=anodizzare 
 anodizzai ( VERB ) lemma=anodizzare 
 anodizzammo ( VERB ) lemma=anodizzare 
 anodizzan ( VERB ) lemma=anodizzare 
 anodizzando ( NOUN NOUN_GERUND ) lemma=anodizzare 
 anodizzano ( VERB ) lemma=anodizzare 
 anodizzante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzar ( VERB_INFINITIVE VERB ) lemma=anodizzare 
 anodizzare ( VERB_INFINITIVE VERB ) 
 anodizzaron ( VERB ) lemma=anodizzare 
 anodizzarono ( VERB ) lemma=anodizzare 
 anodizzasse ( VERB ) lemma=anodizzare 
 anodizzasser ( VERB ) lemma=anodizzare 
 anodizzassero ( VERB ) lemma=anodizzare 
 anodizzassi ( VERB ) lemma=anodizzare 
 anodizzassimo ( VERB ) lemma=anodizzare 
 anodizzaste ( VERB ) lemma=anodizzare 
 anodizzasti ( VERB ) lemma=anodizzare 
 anodizzata ( VERB_PAST_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzate ( VERB_PAST_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzati ( VERB_PAST_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzato ( VERB_PAST_PARTICIPLE VERB ) lemma=anodizzare 
 anodizzava ( VERB ) lemma=anodizzare 
 anodizzavamo ( VERB ) lemma=anodizzare 
 anodizzavan ( VERB ) lemma=anodizzare 
 anodizzavano ( VERB ) lemma=anodizzare 
 anodizzavate ( VERB ) lemma=anodizzare 
 anodizzavi ( VERB ) lemma=anodizzare 
 anodizzavo ( VERB ) lemma=anodizzare 
 anodizzera' ( VERB ) lemma=anodizzare 
 anodizzerai ( VERB ) lemma=anodizzare 
 anodizzeran ( VERB ) lemma=anodizzare 
 anodizzeranno ( VERB ) lemma=anodizzare 
 anodizzerebbe ( VERB ) lemma=anodizzare 
 anodizzerebber ( VERB ) lemma=anodizzare 
 anodizzerebbero ( VERB ) lemma=anodizzare 
 anodizzerei ( VERB ) lemma=anodizzare 
 anodizzeremmo ( VERB ) lemma=anodizzare 
 anodizzeremo ( VERB ) lemma=anodizzare 
 anodizzereste ( VERB ) lemma=anodizzare 
 anodizzeresti ( VERB ) lemma=anodizzare 
 anodizzerete ( VERB ) lemma=anodizzare 
 anodizzero' ( VERB ) lemma=anodizzare 
 anodizzerà ( VERB ) lemma=anodizzare 
 anodizzerò ( VERB ) lemma=anodizzare 
 anodizzi ( VERB ) lemma=anodizzare 
 anodizziamo ( VERB ) lemma=anodizzare 
 anodizziate ( VERB ) lemma=anodizzare 
 anodizzin ( VERB ) lemma=anodizzare 
 anodizzino ( VERB ) lemma=anodizzare 
 anodizzo ( VERB ) lemma=anodizzare 
 anodizzo' ( VERB ) lemma=anodizzare 
 anodizzò ( VERB ) lemma=anodizzare 
 anomala ( ADJECTIVE ) lemma=anomalo 
 anomale ( ADJECTIVE ) lemma=anomalo 
 anomali ( ADJECTIVE ) lemma=anomalo 
 anomalia ( NOUN NOUN_SINGULAR ) 
 anomalie ( NOUN NOUN_SINGULAR ) lemma=anomalia 
 anomalissima ( ADJECTIVE ) lemma=anomalo 
 anomalissime ( ADJECTIVE ) lemma=anomalo 
 anomalissimi ( ADJECTIVE ) lemma=anomalo 
 anomalissimo ( ADJECTIVE ) lemma=anomalo 
 anomalo ( ADJECTIVE ) 
 anomalìa ( NOUN NOUN_SINGULAR ) 
 anomalìe ( NOUN NOUN_SINGULAR ) lemma=anomalìa 
 anonima ( ADJECTIVE ) lemma=anonimo 
 anonime ( ADJECTIVE ) lemma=anonimo 
 anonimi ( NOUN ADJECTIVE NOUN_SINGULAR ) lemma=anonimo 
 anonimissima ( ADJECTIVE ) lemma=anonimo 
 anonimissime ( ADJECTIVE ) lemma=anonimo 
 anonimissimi ( ADJECTIVE ) lemma=anonimo 
 anonimissimo ( ADJECTIVE ) lemma=anonimo 
 anonimo ( NOUN ADJECTIVE NOUN_SINGULAR ) 
 anoressia ( NOUN NOUN_SINGULAR ) 
 anoressica ( NOUN NOUN_SINGULAR ) 
 anoressiche ( NOUN NOUN_SINGULAR ) lemma=anoressica 
 anoressici ( NOUN NOUN_SINGULAR ) lemma=anoressico 
 anoressico ( NOUN NOUN_SINGULAR ) 
 anoressie ( NOUN NOUN_SINGULAR ) lemma=anoressia 
 anormale ( ADJECTIVE ) 
 anormali ( ADJECTIVE ) lemma=anormale 
 anormalissima ( ADJECTIVE ) lemma=anormale 
 anormalissime ( ADJECTIVE ) lemma=anormale 
 anormalissimi ( ADJECTIVE ) lemma=anormale 
 anormalissimo ( ADJECTIVE ) lemma=anormale 
 anormalita' ( NOUN NOUN_SINGULAR ) lemma=anormalità 
 anormalità ( NOUN NOUN_SINGULAR ) 
 ansa ( NOUN VERB NOUN_SINGULAR ) 
 ansai ( VERB ) lemma=ansare 
 ansammo ( VERB ) lemma=ansare 
 ansan ( VERB ) lemma=ansare 
 ansando ( NOUN NOUN_GERUND ) lemma=ansare 
 ansano ( VERB ) lemma=ansare 
 ansante ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) 
 ansanti ( VERB_PRESENT_PARTICIPLE VERB ADJECTIVE ) lemma=ansante 
 ansantissima ( ADJECTIVE ) lemma=ansante 
 ansantissime ( ADJECTIVE ) lemma=ansante 
 ansantissimi ( ADJECTIVE ) lemma=ansante 
 ansantissimo ( ADJECTIVE ) lemma=ansante 
 ansar ( VERB_INFINITIVE VERB ) lemma=ansare 
 ansare ( VERB_INFINITIVE VERB ) 
 ansaron ( VERB ) lemma=ansare 
 ansarono ( VERB ) lemma=ansare 
 ansasse ( VERB ) lemma=ansare 
 ansasser ( VERB ) lemma=ansare 
 ansassero ( VERB ) lemma=ansare 
 ansassi ( VERB ) lemma=ansare 
 ansassimo ( VERB ) lemma=ansare 
 ansaste ( VERB ) lemma=ansare 
 ansasti ( VERB ) lemma=ansare 
 ansata ( VERB_PAST_PARTICIPLE VERB ) lemma=ansare 
 ansate ( VERB_PAST_PARTICIPLE VERB ) lemma=ansare 
 ansati ( VERB_PAST_PARTICIPLE VERB ) lemma=ansare 
 ansato ( VERB_PAST_PARTICIPLE VERB ) lemma=ansare 
 ansava ( VERB ) lemma=ansare 
 ansavamo ( VERB ) lemma=ansare 
 ansavan ( VERB ) lemma=ansare 
 ansavano ( VERB ) lemma=ansare 
 ansavate ( VERB ) lemma=ansare 
 ansavi ( VERB ) lemma=ansare 
 ansavo ( VERB ) lemma=ansare 
 anse ( NOUN NOUN_SINGULAR ) lemma=ansa 
 ansera' ( VERB ) lemma=ansare 
 anserai ( VERB ) lemma=ansare 
 anseran ( VERB ) lemma=ansare 
 anseranno ( VERB ) lemma=ansare 
 anserebbe ( VERB ) lemma=ansare 
 anserebber ( VERB ) lemma=ansare 
 anserebbero ( VERB ) lemma=ansare 
 anserei ( VERB ) lemma=ansare 
 anseremmo ( VERB ) lemma=ansare 
 anseremo ( VERB ) lemma=ansare 
 ansereste ( VERB ) lemma=ansare 
 anseresti ( VERB ) lemma=ansare 
 anserete ( VERB ) lemma=ansare 
 ansero' ( VERB ) lemma=ansare 
 anserà ( VERB ) lemma=ansare 
 anserò ( VERB ) lemma=ansare 
 ansi ( VERB ) lemma=ansare 
 ansia ( NOUN NOUN_SINGULAR ) 
 ansiamo ( VERB ) lemma=ansare 
 ansiate ( VERB ) lemma=ansare 
 ansie ( NOUN NOUN_SINGULAR ) lemma=ansia 
 ansieta' ( NOUN NOUN_SINGULAR ) lemma=ansietà 
 ansietà ( NOUN NOUN_SINGULAR ) 
 ansima ( VERB ) lemma=ansimare 
 ansimai ( VERB ) lemma=ansimare 
 ansimammo ( VERB ) lemma=ansimare 
 ansiman ( VERB ) lemma=ansimare 
 ansimando ( NOUN NOUN_GERUND ) lemma=ansimare 
 ansimano ( VERB ) lemma=ansimare 
 ansimante ( VERB_PRESENT_PARTICIPLE VERB ) lemma=ansimare 
 ansimanti ( VERB_PRESENT_PARTICIPLE VERB ) lemma=ansimare 
 ansimar ( VERB_INFINITIVE VERB ) lemma=ansimare 
 ansimare ( VERB_INFINITIVE VERB ) 
 ansimaron ( VERB ) lemma=ansimare 
 ansimarono ( VERB ) lemma=ansimare 
 ansimasse ( VERB ) lemma=ansimare 
 ansimasser ( VERB ) lemma=ansimare 
 ansimassero ( VERB ) lemma=ansimare 
 ansimassi ( VERB ) lemma=ansimare 
 ansimassimo ( VERB ) lemma=ansimare 
 ansimaste ( VERB ) lemma=ansimare 
 ansimasti ( VERB ) lemma=ansimare 
 ansimata ( VERB_PAST_PARTICIPLE VERB ) lemma=ansimare 
 ansimate ( VERB_PAST_PARTICIPLE VERB ) lemma=ansimare 
 ansimati ( VERB_PAST_PARTICIPLE VERB ) lemma=ansimare 
 ansimato ( VERB_PAST_PARTICIPLE VERB ) lemma=ansimare 
 ansimava ( VERB ) lemma=ansimare 
 ansimavamo ( VERB ) lemma=ansimare 
 ansimavan ( VERB ) lemma=ansimare 
 ansimavano ( VERB ) lemma=ansimare 
 ansimavate ( VERB ) lemma=ansimare 
 ansimavi ( VERB ) lemma=ansimare 
 ansimavo ( VERB ) lemma=ansimare 
 ansimera' ( VERB ) lemma=ansimare 
 ansimerai ( VERB ) lemma=ansimare 
 ansimeran ( VERB ) lemma=ansimare 
 ansimeranno ( VERB ) lemma=ansimare 
 ansimerebbe ( VERB ) lemma=ansimare 
 ansimerebber ( VERB ) lemma=ansimare 
 ansimerebbero ( VERB ) lemma=ansimare 
 ansimerei ( VERB ) lemma=ansimare 
 ansimeremmo ( VERB ) lemma=ansimare 
 ansimeremo ( VERB ) lemma=ansimare 
 ansimereste ( VERB ) lemma=ansimare 
 ansimeresti ( VERB ) lemma=ansimare 
 ansimerete ( VERB ) lemma=ansimare 
 ansimero' ( VERB ) lemma=ansimare 
 ansimerà ( VERB ) lemma=ansimare 
 ansimerò ( VERB ) lemma=ansimare 
 ansimi ( VERB ) lemma=ansimare 
 ansimiamo ( VERB ) lemma=ansimare 
