 H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&F ( NOUN NOUN_PROPER_SINGULAR ) 
 H&H ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Geschäftsleitung ( NOUN NOUN_PROPER_SINGULAR ) 
 H&K-Waffen ( NOUN NOUN_PROPER_SINGULAR ) 
 H&M ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnerkrankung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnerweichung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirn 
 Hirnforscher ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnforschung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnforschungsinstitut ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnfunktion ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnfunktionen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnfunktion 
 Hirnfunktionsstörungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnfunktionsstörung 
 Hirngeschädigte ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirngeschädigt 
 Hirngeschädigter ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirngeschädigt 
 Hirngespinst ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirngespinste ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirngespinst 
 Hirngespinsten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirngespinst 
 Hirngewebe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirngewebsblutungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirngewebsblutung 
 Hirngrill ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirngrundenergie ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnhammer ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirnhaut ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnhautentzündung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnhautentzündungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnhautentzündung 
 Hirnhälfte ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnhälften ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnhälfte 
 Hirnhändler ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnhäute ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnhaut 
 Hirnhäuten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnhaut 
 Hirninfarkt ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnkasten ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnkrampf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnkrankheit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnleiden ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnleistung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnleistungsschwäche ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnlose ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnlos 
 Hirnlosen ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnlos 
 Hirnlosigkeit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnmasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnmitte ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnnervs ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnnerv 
 Hirnoperation ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnoperationen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnoperation 
 Hirnpartien ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnpartie 
 Hirnprellungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnprellung 
 Hirnpräparate ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnpräparat 
 Hirnquetschungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnquetschung 
 Hirnregionen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnregion 
 Hirnrinde ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnriss ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnrisse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnriss 
 Hirnrissiger ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnrissiger 
 Hirnriß ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnriss 
 Hirns ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirn 
 Hirnsberg ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirnschaden ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschadens ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnschaden 
 Hirnschale ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschalen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnschale 
 Hirnschall ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschlag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschmalz ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschrittmacher ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschwellung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschwund ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschäden ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschädigung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnschädigungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnschädigung 
 Hirnstamm ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnstoffwechsel ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnstrom ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnstrommuster ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnstruktur ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnstrukturen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnstruktur 
 Hirnströme ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnstrom 
 Hirnströmen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnstrom 
 Hirnsubstanz ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnsuppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntod ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntod-Diagnose ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntod-Diagnostik ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntodes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirntod 
 Hirntods ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirntod 
 Hirntote ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirntot 
 Hirntoten ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirntot 
 Hirntransplantation ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntumor ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirntumor-Patienten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirntumor-Patient 
 Hirntumore ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirntumor 
 Hirntumoren ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirntumor 
 Hirntätigkeit ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnuntersuchung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnverbrannter ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnverbrannt 
 Hirnverbranntes ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnverbrannt 
 Hirnverletzte ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnverletzt 
 Hirnverletzten ( NOUN ADJECTIVE NOUN_PROPER_SINGULAR ) lemma=hirnverletzt 
 Hirnverletztenbetreuer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnverletzung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnverletzungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnverletzung 
 Hirnverpflanzungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnverpflanzung 
 Hirnvolumen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnwellen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnwelle 
 Hirnwellenfunktion ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnwindungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnwindung 
 Hirnwäsche ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirnzellen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirnzelle 
 Hiro ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hiromi ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hironaga ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hironao ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hironymus ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hiroschima- ( ) 
 Hiroschima-Bombe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroschima-Daten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hiroschima-Datum 
 Hiroshi ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hiroshima ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hiroshima- ( ) 
 Hiroshima-Atombombe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Baum ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Bombe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Bomben ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hiroshima-Bombe 
 Hiroshima-Bündnis ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Gedenktag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Mahnen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Mahnwache ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Piloten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hiroshima-Pilot 
 Hiroshima-Steg ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshima-Tag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiroshimapiloten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hiroshimapilot 
 Hiroshimas ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=Hiroshima 
 Hiroshimastrasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hiroshimastraße 
 Hiroshimastraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsch ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirsch- ( ) 
 Hirsch-Apotheke ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsch-Post ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsch-Weinstuben ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirsch-Weinstube 
 Hirschapotheke ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschau ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirschauer ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirschauers ( NOUN NOUN_SINGULAR NOUN_PLURAL ) lemma=Hirschauer 
 Hirschbach ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschbachtal ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbeck ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirschberg ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschberg-Apotheke ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschberg-Forum ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergalm ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergapotheke ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschberger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirschbergerstr. ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergerstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergerstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergs ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) lemma=Hirschberg 
 Hirschbergsiedlung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergstr. ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbergstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbrunn ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbrunnen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschbrunnens ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschbrunnen 
 Hirschburger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirsche ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirsch 
 Hirscheber ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirscheider ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirschen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirsch 
 Hirsches ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirsch 
 Hirschfeld ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschfeld- ( ) 
 Hirschfeld-Centrum ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschfeld-Gesellschaft ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschfelde ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschfeld 
 Hirschfelder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschfeld 
 Hirschfelds ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschfeld 
 Hirschfleisch ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgang ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgarten ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgartenallee ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgartens ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschgarten 
 Hirschgasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgeweih ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschgeweihe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschgeweih 
 Hirschgeweihen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschgeweih 
 Hirschgraben ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhagen ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschhausen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhof ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhorn ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschhornknopf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhornsalz ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhornstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhornstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschhäuser ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschhaus 
 Hirschjagd ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkalb ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkeule ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkopf ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkuh ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkäfer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschkäfers ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschkäfer 
 Hirschkühe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschkuh 
 Hirschland ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschlanden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschland 
 Hirschlanden-Nord ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschlandstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschlandstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschleder ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschlederne ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschledernen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschlederne 
 Hirschmann ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschmann-Gruppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschmanns ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) lemma=Hirschmann 
 Hirschmeier ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschmüller ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirschparkhaus ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschplan ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschragout ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschrücken ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschs ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) lemma=Hirsch 
 Hirschsprung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschstange ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschstangen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschstange 
 Hirschstrasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschvogel ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschweihe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirschziegenantilopen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirschziegenantilope 
 Hirse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsebier ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsebrei ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsecreme ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirseernte ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsefeld ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirsefelder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirsefeld 
 Hirsemann ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirsemehl ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirseschnaps ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirst ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirt ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirt-Reger ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirt-Rege 
 Hirte ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirte 
 Hirtenberger ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirtenbrief ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenbriefe ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenbrief 
 Hirtenbriefen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenbrief 
 Hirtenbriefs ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenbrief 
 Hirtenbub ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenbuben ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenbube 
 Hirtenbundes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenbund 
 Hirtenchor ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenepos ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenfeld ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenfeuer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenflöte ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtengasse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenhaus ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenhund ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenhund-Collie-Mischlingsrüde ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenjahrtag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenjunge ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenjungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenjunge 
 Hirtenkapelle ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenkindern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenkind 
 Hirtenland ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenlieder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenlied 
 Hirtenliedern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenlied 
 Hirtenmesse ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtennomaden ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtennomade 
 Hirtensalat ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtensignale ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtensignal 
 Hirtensinfonie ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenspiel ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenstab ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenstrasse ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenstraße 
 Hirtenstraße ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtentochter ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenvolk ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenweg ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenweihnacht ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenwonne ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenwort ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtenworte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hirtenwort 
 Hirthammer ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirtin ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtreiter ( NOUN NOUN_PROPER_SINGULAR ) 
 Hirtstein ( NOUN NOUN_SINGULAR NOUN_PLURAL NOUN_PROPER_SINGULAR ) 
 Hirut ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hirzenhainer ( ADJECTIVE ) 
 His ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisayo ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hisballah-Kämpfer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbe-Wahdat-Gruppe ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah- ( ) 
 Hisbollah-Aktivisten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Aktivist 
 Hisbollah-Angriff ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Anhänger ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Anschlag ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Bewegung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Chef ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Einheiten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Einheit 
 Hisbollah-Freischärler ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Fundamentalisten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Fundamentalist 
 Hisbollah-Führer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Führers ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Führer 
 Hisbollah-Führung ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Generalsekretär ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Kämpfer ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Kämpfern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Kämpfer 
 Hisbollah-Mann ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Miliz ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Milizen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Miliz 
 Hisbollah-Mitglieder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Mitglied 
 Hisbollah-Mitglieds ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Mitglied 
 Hisbollah-Organisation ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Partei ( NOUN NOUN_PROPER_SINGULAR ) 
 Hisbollah-Scheichs ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Scheich 
 Hisbollah-Stellungen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Stellung 
 Hisbollah-Stützpunkte ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Stützpunkt 
 Hisbollah-Stützpunkten ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Stützpunkt 
 Hisbollah-Vertretern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hisbollah-Vertreter 
 Hischam ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hisham ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hisis ( NOUN NOUN_PROPER_SINGULAR ) 
 Hiskias ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hisni ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Hispanitäts-Version ( NOUN NOUN_PROPER_SINGULAR ) 
 Hispano- ( ) 
 Hispano-Amerikaner ( NOUN NOUN_PROPER_SINGULAR ) 
 Hispano-Amerikanern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Hispano-Amerikaner 
 Hissen ( NOUN NOUN_PROPER_SINGULAR ) 
 Hissenauer ( NOUN NOUN_SINGULAR NOUN_PLURAL ) 
 Histadrut-Gewerkschaft ( NOUN NOUN_PROPER_SINGULAR ) 
 Histamindihydrochlorid ( NOUN NOUN_PROPER_SINGULAR ) 
 Histologie ( NOUN NOUN_PROPER_SINGULAR ) 
 Historie ( NOUN NOUN_PROPER_SINGULAR ) 
 Historien ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historie 
 Historien- ( ) 
 Historienbild ( NOUN NOUN_PROPER_SINGULAR ) 
 Historienbilder ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historienbild 
 Historienbildern ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historienbild 
 Historienbildes ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historienbild 
 Historiencomics ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historiencomic 
 Historiendrama ( NOUN NOUN_PROPER_SINGULAR ) 
 Historiendramen ( NOUN NOUN_PROPER_SINGULAR ) lemma=Historiendrama 
